EnglishWord,WordType,Level,Translation,ExampleSentenceEn,ExampleSentenceTR
access,verb,B2,erişim,He can access the files now.,Artık dosyalara erişebilir.
accessibility,noun,B2,ulaşılabilirlik,The websites accessibility is great.,Web sitesinin ulaşılabilirliği harika.
accessible,adjective,B1,erişilebilir,The website is accessible to everyone.,Web sitesi herkesin erişebileceği şekilde.
accessory,noun,B1,aksesuar,She bought a new accessory for her car.,Yeni bir aksesuar aldı.
accident,noun,A2,kaza,He had a minor accident last night.,Dün gece küçük bir kaza geçirdi.
accidental,adjective,B1,tesadüfi,It was an accidental discovery.,Bu tesadüfi bir keşifti.
accidentally,adverb,B1,kazara,She accidentally broke the vase.,O kazara vazoyu kırdı.
accommodation,noun,B2,konaklama,The hotel provides comfortable accommodation.,Otel konforlu konaklama sağlar.
accompany,verb,B1,eşlik etmek,Can you accompany me to the event?,Bana etkinliğe eşlik edebilir misin?
accomplish,verb,B1,sonuçlandırmak,He managed to accomplish his goals.,Hedeflerine ulaşmayı başardı.
according to,preposition,B1,buna göre,According to the news its going to rain.,Haberler göre yağmur yağacak.
accordingly,adverb,B2,buna göre,Plan accordingly to avoid delays.,Gecikmeleri önlemek için buna göre plan yap.
account,noun,A2,hesap,She opened a new bank account.,Yeni bir banka hesabı açtı.
account,verb,B1,hesap,He will account for all expenses.,Tüm masraflarını hesaba katacak.
accountant,noun,B1,muhasebeci,She works as an accountant.,O muhasebeci olarak çalışıyor.
accumulate,verb,B2,biriktirmek,The snow began to accumulate.,Kar birikmeye başladı.
accuracy,noun,B1,kesinlik,The accuracy of the data is crucial.,Verilerin kesinliği kritik öneme sahiptir.
accurate,adjective,B1,kesin,The report is accurate and detailed.,Rapor kesin ve ayrıntılı.
accurately,adverb,B1,doğru bir şekilde,The task was done accurately.,Görev doğru bir şekilde yapıldı.
accusation,noun,B2,suçlama,He faced an accusation of fraud.,Dolandırıcılık suçlamasıyla karşı karşıya kaldı.
accuse,verb,B1,suçlamak,She was accused of stealing.,Hırsızlıkla suçlandı.
accustom,verb,B1,alıştırmak,They tried to accustom him to the new schedule.,Onu yeni programa alıştırmaya çalıştılar.
ache,noun,B1,ağrı,She felt an ache in her back.,Sırtında bir ağrı hissetti.
ache,verb,B2,ağrı,Her feet ached after the long walk.,Uzun yürüyüşten sonra ayakları ağrıyordu.
achievable,adjective,B2,başarılabilir,Their target is definitely achievable.,Hedefleri kesinlikle başarılabilir.
achieve,verb,A2,başarmak,She worked hard to achieve her dreams.,Hayallerini başarmak için çok çalıştı.
achievement,noun,B1,başarı,Winning the award was a great achievement.,Ödülü kazanmak büyük bir başarıydı.
acid,noun,B2,asit,Lemon contains citric acid.,Limon sitrik asit içerir.
acknowledge,verb,B1,kabullenmek,She had to acknowledge her mistake.,Hatasını kabullenmek zorundaydı.
acknowledgment/acknowledgement,noun,B1,teşekkür,He gave an acknowledgment to his team.,Ekibine bir teşekkür etti.
acquaintance,noun,B1,tanıdık,I met an old acquaintance at the event.,Etkinlikte eski bir tanıdıkla karşılaştım.
acquire,verb,B1,elde etmek,She acquired new skills over the summer.,Yaz boyunca yeni beceriler edindi.
acquisition,noun,B2,kazanma,The acquisition of skills is important.,Becerilerin kazanılması önemlidir.
across,adverb,A2,karşısında,He looked across the river.,Nehir boyunca baktı.
across,preposition,A2,karşısında,The library is across the street.,Kütüphane sokağın karşısında.
act,noun,A2,davranmak,Kindness is a noble act.,Nazik olmak soylu bir davranıştır.
act,verb,B1,davranmak,He acted bravely in the situation.,O durumda cesur davrandı.
action,noun,A1,aksiyon,Take action before its too late.,Geç olmadan harekete geç.
active,adjective,B1,aktif,Shes very active in sports.,O sporda çok aktiftir.
actively,adverb,B2,aktif olarak,He participates actively in class.,O derse aktif olarak katılıyor.
activity,noun,A1,aktivite,Camping is a fun activity.,Kamp yapmak eğlenceli bir aktivitedir.
actor,noun,A1,aktör,He is a famous actor in Hollywood.,O Hollywoodda ünlü bir aktördür.
actress,noun,B1,aktris,She became a popular actress.,O popüler bir aktris oldu.
actual,adjective,B2,gerçek,The actual cost was higher than expected.,Gerçek maliyet beklenenden yüksekti.
actually,adverb,A2,Aslında,He actually enjoys classical music.,Aslında klasik müziği seviyor.
acute,adjective,B2,akut,She experienced acute pain.,O akut bir ağrı yaşadı.
ad,noun,B1,reklam,The ad was very creative and catchy.,Reklam çok yaratıcı ve dikkat çekiciydi.
adapt,verb,B1,adapte olmak,She quickly adapted to the new job.,O yeni işe hızlıca adapte oldu.
adaptable,adjective,B2,uyarlanabilir,Hes a very adaptable person.,O çok uyarlanabilir bir insandır.
add,verb,A1,eklemek,Can you add this to the list?,Bunu listeye ekleyebilir misin?
addict,noun,B2,bağımlı,He is a coffee addict.,O bir kahve bağımlısı.
addicted,adjective,B2,bağımlı,She became addicted to the game.,O oyuna bağımlı hale geldi.
addiction,noun,B2,bağımlılık,Addiction to social media is common.,Sosyal medyaya bağımlılık yaygındır.
addition,noun,A2,ek,In addition to coffee she likes tea.,Kahveye ek olarak çayı da sever.
additional,adjective,A2,ek olarak,They provided additional information.,Onlar ek bilgi sağladılar.
additionally,adverb,B2,bunlara ek olarak,Additionally he completed his studies.,Bunlara ek olarak eğitimini tamamladı.
address,noun,A1,adres,What is your home address?,Ev adresin nedir?
address,verb,B1,adres,The letter was addressed to him.,Mektup ona adreslendi.
addressee,noun,B1,muhatap,The addressee must sign for the package.,Mütakip paket için imza atmalıdır.
adequate,adjective,B2,yeterli,His explanation was adequate.,Onun açıklaması yeterliydi.
adequately,adverb,B2,yeterince,The topic was adequately covered.,Konu yeterince kapsandı.
adjective,noun,A2,sıfat,An adjective describes a noun.,Bir sıfat bir ismi tanımlar.
adjust,verb,A2,ayarlamak,You can adjust the seat for comfort.,Rahatlık için koltuğu ayarlayabilirsin.
adjustment,noun,B2,ayar,She made an adjustment to the settings.,Ayarları değiştirdi.
administration,noun,B1,yönetim,The school administration made the decision.,Okul yönetimi kararı verdi.
administrative,adjective,B2,yönetimle ilgili,She has an administrative role in the office.,Ofiste yönetimle ilgili bir rolü var.
admirable,adjective,B2,takdire şayan,Her dedication to work is admirable.,İşine olan bağlılığı takdire şayan.
admiration,noun,B1,hayranlık,He has great admiration for his mentor.,Mentoruna büyük bir hayranlığı var.
admire,verb,A2,beğenmek,Many people admire his talent.,Birçok insan onun yeteneğini beğeniyor.
admiringly,adverb,B2,hayranlıkla,She looked at the painting admiringly.,Tabloya hayranlıkla baktı.
admission,noun,B1,kabul,He gained admission to the university.,Üniversiteye kabul edildi.
admit,verb,A2,itiraf etmek,She admitted her mistake.,Hatasını itiraf etti.
admittedly,adverb,B2,kuşkusuz,Admittedly it was a difficult decision.,Kuşkusuz bu zor bir karardı.
adopt,verb,B1,evlat edinmek,They decided to adopt a child.,Bir çocuğu evlat edinmeye karar verdiler.
adopted,adjective,B2,kabul edilen,They love their adopted daughter.,Evlat edindikleri kızı seviyorlar.
adoption,noun,B2,benimseme,The adoption of new technology is essential.,Yeni teknolojilerin benimsenmesi gereklidir.
adorable,adjective,B1,sevimli,Their puppy is simply adorable.,Köpek yavruları gerçekten sevimli.
adore,verb,B2,hayranlık duymak,She adores her little brother.,Küçük kardeşine hayranlık duyuyor.
adorn,verb,B2,süslemek,They adorn the room with flowers.,Odayı çiçeklerle süslerler.
adult,adjective,A2,yetişkin,The adult lions are very strong.,Yetişkin aslanlar çok güçlüdür.
adult,noun,A2,yetişkin,Children and adults are welcome.,Çocuklar ve yetişkinler hoş geldiniz.
advance,noun,B2,ilerlemek,The team made significant advances.,Takım önemli ilerlemeler kaydetti.
advance,verb,B1,ilerlemek,They will advance to the next stage.,Bir sonraki aşamaya ilerleyecekler.
advanced,adjective,A2,gelişmiş,He is in an advanced level of his studies.,Gelişmiş bir eğitim seviyesinde.
advancement,noun,B2,ilerleme,The advancement of technology is rapid.,Teknolojinin ilerlemesi hızlıdır.
advantage,noun,A2,avantaj,Knowing the area is an advantage.,Bölgeyi bilmek bir avantajdır.
advent,noun,B2,geliş,The advent of internet changed communication.,İnternetin gelişi iletişimi değiştirdi.
adventure,noun,A2,macera,They went on an exciting adventure.,Heyecan verici bir maceraya çıktılar.
adventurous,adjective,B2,maceracı,She has an adventurous spirit.,Maceracı bir ruhu var.
adverb,noun,B1,zarf,An adverb describes a verb.,Bir zarf bir fiili tanımlar.
adverbial,adjective,B1,zarf ile ilgili,He used an adverbial phrase in the sentence.,Cümlede zarf ile ilgili bir ifade kullandı.
adverse,adjective,B2,olumsuz,The weather had an adverse effect on plans.,Hava koşulları planlar üzerinde olumsuz bir etki yarattı.
adversely,adverb,B2,olumsuz olarak,The delay adversely affected the results.,Gecikme sonuçları olumsuz etkiledi.
adversity,noun,B2,sıkıntı,She showed courage in the face of adversity.,Zorluklar karşısında cesaret gösterdi.
advert,noun,B1,ilan,I saw an advert for a new car.,Yeni bir araba için bir ilan gördüm.
advertise,verb,B1,reklam vermek,They advertise their services online.,Hizmetlerini çevrimiçi olarak reklam veriyorlar.
advertisement,noun,A2,reklamcılık,She works in advertisement design.,Reklam tasarımında çalışıyor.
advertising,noun,A2,reklam,The company invests in advertising.,Şirket reklamcılığa yatırım yapıyor.
advice,noun,A2,tavsiye,Her advice was very helpful.,Onun tavsiyesi çok yardımcı oldu.
advise,verb,A2,öğüt vermek,He advises students on career choices.,Kariyer seçimleri konusunda öğrencilere öğüt veriyor.
adviser/advisor,noun,B1,danışman,She is a financial advisor.,O bir finans danışmanıdır.
aerobics,noun,B1,aerobik,She goes to aerobics classes twice a week.,Haftada iki kez aerobik derslerine gidiyor.
affair,noun,A2,mesele,The affair was widely discussed in the news.,Mesele haberlerde genişçe tartışıldı.
affect,verb,B1,etkilemek,The cold weather can affect health.,Soğuk hava sağlığı etkileyebilir.
affection,noun,B1,alaka,She has great affection for her friends.,Arkadaşlarına büyük bir alaka duyuyor.
affectionate,adjective,B2,sevecen,He is very affectionate towards his pets.,Evcil hayvanlarına karşı çok sevecen.
affectionately,adverb,B2,sevgiyle,She spoke affectionately to her child.,Çocuğuna sevgiyle konuştu.
afford,verb,B1,parası yetmek,Can you afford this luxury?,Bu lükse parası yetiyor mu?
affordable,adjective,B2,ekonomik,They offer affordable prices.,Ekonomik fiyatlar sunuyorlar.
afraid,adjective,A1,korkmuş,She is afraid of the dark.,Karanlıktan korkuyor.
after,adverb,A2,sonrasında,We went for coffee after the meeting.,Toplantıdan sonra kahve içmeye gittik.
after,conjunction,B1,sonrasında,Call me after you finish.,Bittiğinde beni ara.
after,preposition,A1,sonrasında,She arrived after the event.,Olaydan sonra geldi.
afternoon,noun,A1,öğleden sonra,Ill see you in the afternoon.,Öğleden sonra görüşeceğiz.
afterward,adverb,B1,sonrasında,We can meet afterward if youre free.,Eğer müsaitsen sonrasında buluşabiliriz.
afterwards,adverb,B1,daha sonrasında,They left the park and afterwards went home.,Parkı terk ettiler daha sonrasında eve gittiler.
again,adverb,A1,tekrar,Can you explain that again?,Bunu tekrar açıklayabilir misin?
against,preposition,A2,aykırı,She spoke against the proposal.,Öneriye karşı konuştu.
age,noun,A1,yaş,What is your age?,Yaşın kaç?
aged,adjective,A2,yaşlı,The aged man walked slowly.,Yaşlı adam yavaş yürüdü.
ageless,adjective,B2,eskimeyen,Her beauty is ageless.,Onun güzelliği eskimez.
agency,noun,A2,ajans,She works at a travel agency.,O bir seyahat ajansında çalışıyor.
agenda,noun,B1,gündem,The meeting agenda is quite full.,Toplantı gündemi oldukça dolu.
agent,noun,A2,ajan,The secret agent completed his mission.,Gizli ajan görevini tamamladı.
aggressive,adjective,B1,agresif,His tone became aggressive.,Tonunda agresifleşti.
aggressively,adverb,B2,agresif bir şekilde,He spoke aggressively to the group.,Gruba agresif bir şekilde konuştu.
ago,adverb,A1,evvel,She moved here two years ago.,İki yıl önce buraya taşındı.
agonize/agonise,verb,B2,ıstırap çekmek,He would agonize over every decision.,Her kararı verirken ıstırap çekerdi.
agony,noun,B2,ızdırap,She was in agony after the injury.,Yaralandıktan sonra ızdırap içindeydi.
agree,verb,A1,kabul etmek,Do you agree with this plan?,Bu plana katılıyor musun?
agreement,noun,B1,anlaşma,They reached an agreement last week.,Geçen hafta bir anlaşmaya vardılar.
agricultural,adjective,B1,tarımsal,He studied agricultural sciences.,Tarım bilimleri okudu.
agriculture,noun,B1,tarım,Agriculture is vital for the countrys economy.,Tarım ülkenin ekonomisi için hayati öneme sahiptir.
ahead,adverb,A2,ileride,The road ahead is clear.,İlerideki yol açık.
aid,noun,B1,yardım,They provided aid to the flood victims.,Sel mağdurlarına yardım ettiler.
aid,verb,B1,yardım etmek,The new tools aid the workers.,Yeni araçlar işçilere yardımcı oluyor.
aim,noun,B1,amaç,The main aim is to improve service.,Ana amaç hizmeti geliştirmektir.
aim,verb,B2,amaçlamak,He aims to finish by Friday.,Cuma günü bitirmeyi hedefliyor.
air,noun,A2,hava,The air is fresh this morning.,Bu sabah hava taze.
air conditioning,noun,B1,klima,The air conditioning keeps the room cool.,Klima odayı serin tutuyor.
air force,noun,B1,hava kuvvetleri,He served in the air force for many years.,Uzun yıllar hava kuvvetlerinde görev yaptı.
aircraft,noun,B2,uçak,The aircraft landed safely.,Uçak güvenli bir şekilde indi.
aircrew,noun,B2,hava mürettebatı,The aircrew prepared for the flight.,Hava mürettebatı uçuş için hazırlandı.
airline,noun,B1,havayolu,They work for a major airline.,Onlar büyük bir havayolu şirketinde çalışıyor.
airplane/aeroplane,noun,A1,uçak,The airplane took off smoothly.,Uçak sorunsuz bir şekilde havalandı.
airport,noun,A1,havalimanı,We arrived at the airport early.,Havalimanına erken vardık.
aisle,noun,A2,koridor,The flight attendant walked down the aisle.,Uçuş görevlisi koridorda yürüdü.
alarm,noun,A2,alarm,The fire alarm went off suddenly.,Yangın alarmı aniden çaldı.
alarm,verb,B1,alarm,His sudden shout alarmed everyone.,Onun aniden bağırması herkesi korkuttu.
alarm clock,noun,A2,alarm saati,I set my alarm clock for 7 a.m.,Alarm saatimi sabah 7 için kurdum.
album,noun,A1,albüm,She bought a new photo album.,Yeni bir fotoğraf albümü satın aldı.
alcohol,noun,B1,alkol,They do not serve alcohol here.,Burada alkol servis etmiyorlar.
alcoholic,adjective,B1,alkollü,Wine is an alcoholic beverage.,Şarap alkollü bir içecektir.
alcoholic,noun,B2,alkollü,He is a recovering alcoholic.,O alkol bağımlılığından kurtulmaya çalışan biridir.
alcoholism,noun,B2,alkolizm,Alcoholism affects many families.,Alkolizm birçok aileyi etkiler.
alert,verb,B2,uyarı,The system will alert you of any issues.,Sistem herhangi bir sorunda sizi uyaracak.
alike,adjective,B1,benzer,The twins look very much alike.,İkizler çok benzer görünüyor.
alike,adverb,B1,benzer,They dress alike for fun.,Eğlence için aynı giyinirler.
alive,adjective,A2,canlı,He is happy to be alive and healthy.,Hayatta ve sağlıklı olduğu için mutlu.
all,adverb,A2,tümü,They all joined the party.,Hepsi partiye katıldı.
all,determiner,A1,tümü,All the students attended the lecture.,Tüm öğrenciler derse katıldı.
all,pronoun,A1,tümü,All are welcome to join.,Herkes katılmaya davetlidir.
all right,adjective,A1,elbette,Its all right if you cant come.,Gelemezsen sorun değil.
all right,adverb,A1,elbette,She agreed saying All right Ill do it.,Kabul etti ve Tamam yaparım dedi.
allegation,noun,B2,iddia,The allegation was serious but unproven.,İddia ciddiydi ama kanıtlanmamıştı.
allergic,adjective,B1,alerjik,He is allergic to peanuts.,Fıstıklara alerjisi var.
alliance,noun,B2,ittifak,The two countries formed an alliance.,İki ülke bir ittifak kurdu.
allow,verb,A2,izin vermek,They allow visitors to tour the facility.,Ziyaretçilerin tesisi gezmelerine izin veriyorlar.
allowance,noun,B1,ödenek,She receives a monthly allowance from her parents.,Aylık ödeneğini ailesinden alıyor.
ally,noun,B2,müttefik,The country found an ally in the negotiations.,Ülke müzakerelerde bir müttefik buldu.
almost,adverb,A1,neredeyse,She almost missed the bus.,Neredeyse otobüsü kaçırıyordu.
alone,adjective,A2,yalnız,He likes being alone sometimes.,Bazen yalnız olmayı sever.
alone,adverb,A1,yalnız,She went to the event alone.,Etkinliğe yalnız gitti.
along,adverb,A1,birlikte,He came along with his friends.,Arkadaşlarıyla birlikte geldi.
along,preposition,A2,birlikte,They walked along the river.,Nehir boyunca yürüdüler.
alongside,preposition,B2,yanında,She worked alongside her mentor.,Mentoruyla birlikte çalıştı.
aloud,adverb,B1,yüksek sesle,Please read the passage aloud.,Lütfen pasajı yüksek sesle oku.
alphabet,noun,B1,alfabe,Children learn the alphabet in school.,Çocuklar okulda alfabeyi öğrenirler.
alphabetical,adjective,B2,alfabetik,Arrange the names in alphabetical order.,İsimleri alfabetik sırayla düzenleyin.
already,adverb,A1,çoktan,She has already left for work.,O işe çoktan gitmiş.
alright,adjective,A2,tamam,Is everything alright with you?,Her şey seninle tamam mı?
alright,adverb,A2,tamam,Alright lets get started.,Tamam başlayalım.
also,adverb,A1,ayrıca,She also likes to swim in her free time.,O boş zamanlarında yüzmeyi de sever.
altar,noun,B2,altar,The couple exchanged vows at the altar.,Çift altarın önünde yemin etti.
alter,verb,B2,değiştirmek,She decided to alter her travel plans.,Seyahat planlarını değiştirmeye karar verdi.
alternate,verb,B2,alternatif,They alternate cooking duties each week.,Her hafta yemek pişirme görevlerini değiştiriyorlar.
alternative,adjective,B1,alternatif,They looked for an alternative solution.,Alternatif bir çözüm aradılar.
alternative,noun,B1,alternatif,Walking is a good alternative to driving.,Yürümek araba kullanmaya iyi bir alternatiftir.
alternatively,adverb,B2,alternatif olarak,Alternatively you could take a taxi.,Alternatif olarak bir taksi alabilirsiniz.
although,conjunction,A2,rağmen,Although it was raining they went for a walk.,Yağmur yağmasına rağmen yürüyüşe çıktılar.
altitude,noun,B2,rakım,The airplane flew at a high altitude.,Uçak yüksek bir rakımda uçtu.
altogether,adverb,B1,tamamen,They stopped seeing each other altogether.,Artık birbirlerini görmeyi tamamen bıraktılar.
aluminum/aluminium,noun,B2,alüminyum,The frame is made of aluminum.,Çerçeve alüminyumdan yapılmıştır.
always,adverb,A1,her zaman,She always arrives on time.,O her zaman zamanında gelir.
am,be verb,A1,ben,I am very happy today.,Bugün çok mutluyum.
amaze,verb,B2,hayrete düşürmek,Her skills amaze everyone.,Onun yetenekleri herkesi hayrete düşürür.
amazed,adjective,B1,hayret,They were amazed by the magicians tricks.,Sihirbazın numaralarına hayran kaldılar.
amazement,noun,B2,şaşkınlık,He watched in amazement as they performed.,Onlar performans sergilerken o hayretle izledi.
amazing,adjective,B1,inanılmaz,She has an amazing voice.,Onun harika bir sesi var.
amazingly,adverb,B2,şaşırtıcı derecede,Amazingly he solved the puzzle quickly.,Şaşırtıcı bir şekilde bulmacayı hızlıca çözdü.
ambassador,noun,B2,büyükelçi,The ambassador gave a speech at the event.,Büyükelçi etkinlikte bir konuşma yaptı.
ambiguity,noun,B2,belirsizlik,The statement was full of ambiguity.,Açıklama belirsizliklerle doluydu.
ambiguous,adjective,B2,belirsiz,Her answer was ambiguous.,Onun cevabı belirsizdi.
ambition,noun,A2,tutku,He has a strong ambition to succeed.,Başarılı olma konusunda güçlü bir hırsı var.
ambitious,adjective,B1,hırslı,She is ambitious and works hard.,O hırslıdır ve çok çalışır.
ambulance,noun,B1,ambulans,The ambulance arrived quickly.,Ambulans hızla geldi.
ammonia,noun,B2,amonyak,Ammonia is commonly used in cleaning products.,Amonyak genellikle temizlik ürünlerinde kullanılır.
among,preposition,A2,arasında,She found her keys among the clothes.,Anahtarlarını kıyafetlerin arasında buldu.
amongst,preposition,B2,arasında,There was a disagreement amongst the group.,Grup içinde bir anlaşmazlık vardı.
amount,noun,B1,miktar,A large amount of money was donated.,Büyük miktarda para bağışlandı.
ample,adjective,B2,bol,There is ample parking available.,Bol miktarda park yeri mevcuttur.
amplifier,noun,B2,amplifikatör,The amplifier made the music louder.,Amfi müziği daha yüksek yaptı.
amplify,verb,B2,güçlendirmek,They used a microphone to amplify their voices.,Seslerini yükseltmek için mikrofon kullandılar.
amuse,verb,B2,eğlendirmek,The clown amused the children.,Palyaço çocukları eğlendirdi.
amused,adjective,A2,eğlenmiş,She was amused by the story.,Hikayeye çok güldü.
amusement,noun,A2,eğlence,The park offers a lot of amusement.,Park birçok eğlence sunuyor.
amusing,adjective,B1,eğlenceli,The movie was quite amusing.,Film oldukça eğlenceliydi.
an,determiner,A1,bir,I ate an apple for lunch.,Öğle yemeğinde bir elma yedim.
analogy,noun,B2,benzetme,The teacher used an analogy to explain the concept.,Öğretmen kavramı açıklamak için bir benzetme kullandı.
analysis,noun,B1,analiz,The analysis showed a clear trend.,Analiz net bir eğilim gösterdi.
analyst,noun,B2,analist,He works as a financial analyst.,O finansal analist olarak çalışıyor.
analyze/analyse,verb,B1,analiz etmek,Scientists analyze data to make discoveries.,Bilim adamları keşif yapmak için verileri analiz eder.
ancestor,noun,A2,ata,They discovered their ancestors history.,Atalarının tarihini keşfettiler.
anchor,noun,B2,çapa,The boat dropped its anchor near the shore.,Tekne kıyıya yakın demir attı.
anchorage,noun,B2,demirleme,The ship found safe anchorage in the bay.,Gemi koyda güvenli bir demirleme yeri buldu.
anchorman,noun,B2,spiker,The anchorman reported the evening news.,Sunucu akşam haberlerini bildirdi.
anchorperson,noun,B2,spiker,The anchorperson introduced the segment.,Sunucu bölümü tanıttı.
ancient,adjective,A2,antik,They visited ancient ruins on their trip.,Seyahatlerinde antik harabeleri ziyaret ettiler.
and,conjunction,A1,ve,She bought apples and bananas.,Elma ve muz satın aldı.
angel,noun,A2,melek,She believes in guardian angels.,Koruyucu meleklere inanıyor.
anger,noun,B1,kızgınlık,He couldnt hide his anger.,Öfkesini saklayamadı.
angle,noun,B1,açı,The camera was positioned at an angle.,Kamera bir açıyla yerleştirildi.
angrily,adverb,A2,öfkeyle,She responded angrily to the accusation.,Suçlamaya kızgın bir şekilde cevap verdi.
angry,adjective,A1,sinirli,He was angry about the delay.,Gecikmeden dolayı kızgındı.
anguish,noun,B2,ıstırap,She cried out in anguish.,Acı içinde haykırdı.
animal,noun,A1,hayvan,The zoo has many different animals.,Hayvanat bahçesinde birçok farklı hayvan var.
animate,verb,B2,canlandırmak,They used software to animate the characters.,Karakterleri canlandırmak için yazılım kullandılar.
animated,adjective,B1,animasyonlu,He loves animated movies.,Animasyon filmlerini çok seviyor.
animation,noun,B1,animasyon,The animation was incredibly detailed.,Animasyon inanılmaz derecede detaylıydı.
ankle,noun,A2,bilek,She sprained her ankle while jogging.,Koşarken bileğini burktu.
anniversary,noun,A2,yıl dönümü,They celebrated their 10th anniversary.,10. yıl dönümlerini kutladılar.
announce,verb,B1,duyurmak,The company announced a new product launch.,Şirket yeni bir ürün lansmanı duyurdu.
announcement,noun,B1,duyuru,The announcement was posted on the website.,Duyuru web sitesine yüklendi.
annoy,verb,A2,kızdırmak,Loud noises can annoy people.,Yüksek sesler insanları rahatsız edebilir.
annoyance,noun,B1,sıkıntı,There was clear annoyance in her voice.,Sesinde açık bir rahatsızlık vardı.
annoyed,adjective,B1,sinirli,He was annoyed by the constant interruptions.,Sürekli kesintilerden rahatsız oldu.
annoying,adjective,A2,sinir bozucu,The delay was very annoying.,Gecikme çok rahatsız ediciydi.
annual,adjective,B1,yıllık,The annual meeting is held every January.,Yıllık toplantı her Ocak ayında yapılır.
annually,adverb,B1,yıllık,The fair is held annually.,Fuar her yıl düzenlenir.
anonymous,adjective,B2,anonim,The donation was made by an anonymous person.,Bağış anonim bir kişi tarafından yapıldı.
another,determiner,A1,bir diğer,Id like another cup of tea please.,Bir fincan daha çay rica ediyorum.
another,pronoun,A2,bir diğer,One hand washes another.,Bir el diğerini yıkar.
answer,noun,A1,cevap,He gave a clear answer to the question.,Soruya net bir cevap verdi.
answer,verb,A1,cevap vermek,She answered all the questions correctly.,Tüm soruları doğru yanıtladı.
ant,noun,B1,karınca,There was an ant crawling on the table.,Masada bir karınca sürünüyordu.
anti,adjective,B1,anti,She uses anti allergy medicine.,Alerji önleyici ilaç kullanıyor.
antiaircraft,adjective,B2,uçaksavar,The base was equipped with antiaircraft weapons.,Üs uçaksavar silahlarıyla donatılmıştı.
antibacterial,adjective,B2,antibakteriyel,She bought an antibacterial soap.,Antibakteriyel sabun satın aldı.
anticancer,noun,B2,antikanser,They are researching anticancer drugs.,Kanser önleyici ilaçlar üzerine araştırma yapıyorlar.
